information,price
"Гарантия: 1 год; Гарантия предоставляется: продавцом; ЗД для отчета BI/BO: 15.6""/1920x1080 пикс./IPS/AMD/Ryzen 3/Radeon Graphics/8 ГБ/256 ГБ/Windows 11 Домашняя; Количество ядер: 2; Кэш-память: 4 МБ; Максимальная тактовая частота: 3.5 ГГц; Модель процессо",39999
"Гарантия: 1 год; Гарантия предоставляется: продавцом; ЗД для отчета BI/BO: 15.6""/1920x1080 пикс./IPS/AMD/Ryzen 3/Radeon Graphics/8 ГБ/256 ГБ/не установлена; Количество ядер: 2; Кэш-память: 4 МБ; Максимальная тактовая частота: 3.5 ГГц; Модель процессора: 3",35999
"Гарантия: 1 год; Гарантия предоставляется: продавцом; ЗД для отчета BI/BO: 15.6""/1920x1080 пикс./IPS/AMD/Ryzen 5/GeForce GTX 1650 4GB/8 ГБ/512 ГБ/Windows 11 Домашняя 64; Количество ядер: 8; Кэш-память: 8 МБ; Максимальная тактовая частота: 4.0 ГГц; Модель",61999
"Гарантия: 1 год; Гарантия предоставляется: продавцом; ЗД для отчета BI/BO: 15.6""/1920x1080 пикс./IPS/AMD/Ryzen 5/GeForce RTX 3050 4GB/8 ГБ/512 ГБ/Windows 11 Домашняя 64; Количество ядер: 6; Кэш-память: 16 МБ; Максимальная тактовая частота: 4.2 ГГц; Модель",74999
"Гарантия: 1 год; Гарантия предоставляется: продавцом; ЗД для отчета BI/BO: 15.6""/1920x1080 пикс./IPS/AMD/Ryzen 5/GeForce RTX 3050 Ti для ноутбуков 4GB/16 ГБ/512 ГБ/не установлена; Количество ядер: 6; Кэш-память: 16 МБ; Максимальная тактовая частота: 4.2 Г",72999
"Гарантия: 1 год; Гарантия предоставляется: продавцом; ЗД для отчета BI/BO: 15.6""/1920x1080 пикс./IPS/AMD/Ryzen 5/GeForce RTX 3060 для ноутбуков 6GB/16 ГБ/512 ГБ/не установлена; Количество ядер: 6; Кэш-память: 16 МБ; Максимальная тактовая частота: 4.2 ГГц;",94999
"Гарантия: 1 год; Гарантия предоставляется: продавцом; ЗД для отчета BI/BO: 15.6""/1920x1080 пикс./IPS/AMD/Ryzen 5/Radeon Graphics/16 ГБ/512 ГБ/Windows 11 Домашняя; Количество ядер: 6; Кэш-память: 8 МБ; Максимальная тактовая частота: 4.0 ГГц; Модель процесс",62999
"Гарантия: 1 год; Гарантия предоставляется: продавцом; ЗД для отчета BI/BO: 15.6""/1920x1080 пикс./IPS/AMD/Ryzen 5/Radeon Graphics/8 ГБ/512 ГБ/Windows 11 Домашняя; Количество ядер: 6; Кэш-память: 8 МБ; Максимальная тактовая частота: 4.0 ГГц; Модель процессо",54999
"Гарантия: 1 год; Гарантия предоставляется: продавцом; ЗД для отчета BI/BO: 15.6""/1920x1080 пикс./IPS/Intel/Core i5/GeForce GTX 1650 4GB/8 ГБ/512 ГБ/Windows 11 Домашняя 64; Количество ядер: 4; Кэш-память: 8 МБ; Максимальная тактовая частота: 4.4 ГГц; Модел",64999
"Гарантия: 1 год; Гарантия предоставляется: продавцом; ЗД для отчета BI/BO: 15.6""/1920x1080 пикс./IPS/Intel/Core i5/GeForce RTX 3050 4GB/8 ГБ/512 ГБ/Windows 11 Домашняя 64; Количество ядер: 6; Кэш-память: 12 МБ; Максимальная тактовая частота: 4.5 ГГц; Моде",79999
"Гарантия: 1 год; Гарантия предоставляется: продавцом; ЗД для отчета BI/BO: 15.6""/1920x1080 пикс./IPS/Intel/Core i5/GeForce RTX 3050 4GB/8 ГБ/512 ГБ/Windows 11; Количество ядер: 6; Кэш-память: 12 МБ; Максимальная тактовая частота: 2.7 ГГц; Модель процессор",79999
"Гарантия: 1 год; Гарантия предоставляется: продавцом; ЗД для отчета BI/BO: 15.6""/1920x1080 пикс./IPS/Intel/Core i5/GeForce RTX 3050 Ti 4GB/16 ГБ/512 ГБ/не установлена; Количество ядер: 6; Кэш-память: 12 МБ; Максимальная тактовая частота: 4.5 ГГц; Модель п",84999
"Гарантия: 1 год; Гарантия предоставляется: продавцом; ЗД для отчета BI/BO: 15.6""/1920x1080 пикс./IPS/Intel/Core i5/GeForce RTX 3050 для ноутбуков 4GB/8 ГБ/512 ГБ/Windows 11 Домашняя 64; Количество ядер: 6; Кэш-память: 12 МБ; Максимальная тактовая частота:",79999
"Гарантия: 1 год; Гарантия предоставляется: продавцом; ЗД для отчета BI/BO: 15.6""/1920x1080 пикс./IPS/Intel/Core i5/GeForce RTX 3060 для ноутбуков 6GB/16 ГБ/512 ГБ/не установлена; Количество ядер: 12; Кэш-память: 18 МБ; Максимальная тактовая частота: 4.5 Г",109999
"Гарантия: 1 год; Гарантия предоставляется: продавцом; ЗД для отчета BI/BO: 15.6""/1920x1080 пикс./IPS/Intel/Core i5/Intel Iris Xe Graphics/8 ГБ/1 ТБ/Windows 11 Домашняя 64; Количество ядер: 4; Кэш-память: 8 МБ; Максимальная тактовая частота: 4.2 ГГц; Модел",54999
"Гарантия: 1 год; Гарантия предоставляется: продавцом; ЗД для отчета BI/BO: 15.6""/1920x1080 пикс./IPS/Intel/Core i5/Intel Iris Xe Graphics/8 ГБ/512 ГБ/Windows 11; Количество ядер: 4; Кэш-память: 8 МБ; Максимальная тактовая частота: 4.2 ГГц; Модель процессо",54999
"Гарантия: 1 год; Гарантия предоставляется: продавцом; ЗД для отчета BI/BO: 15.6""/1920x1080 пикс./IPS/Intel/Core i7/GeForce RTX 3060 6GB/16 ГБ/1 ТБ/Windows 11 Домашняя 64; Количество ядер: 14; Кэш-память: 24 МБ; Максимальная тактовая частота: 4.7 ГГц; Моде",119999
"Гарантия: 1 год; Гарантия предоставляется: продавцом; ЗД для отчета BI/BO: 15.6""/1920x1080 пикс./IPS/Intel/Core i7/GeForce RTX 3060 6GB/16 ГБ/1 ТБ/не установлена; Количество ядер: 8; Кэш-память: 24 МБ; Максимальная тактовая частота: 4.6 ГГц; Модель процес",104999
"Гарантия: 1 год; Гарантия предоставляется: продавцом; ЗД для отчета BI/BO: 15.6""/1920x1080 пикс./IPS/Intel/Core i7/GeForce RTX 3060 6GB/16 ГБ/512 ГБ/Windows 11 Домашняя 64; Количество ядер: 10; Кэш-память: 24 МБ; Максимальная тактовая частота: 4.7 ГГц; Мо",109999
"Гарантия: 1 год; Гарантия предоставляется: продавцом; ЗД для отчета BI/BO: 15.6""/1920x1080 пикс./IPS/Intel/Core i7/GeForce RTX 3060 6GB/16 ГБ/512 ГБ/Windows 11 Домашняя 64; Количество ядер: 14; Кэш-память: 24 МБ; Максимальная тактовая частота: 4.7 ГГц; Мо",134999
"Гарантия: 1 год; Гарантия предоставляется: продавцом; ЗД для отчета BI/BO: 15.6""/1920x1080 пикс./IPS/Intel/Core i7/GeForce RTX 3060 6GB/16 ГБ/512 ГБ/не установлена; Количество ядер: 8; Кэш-память: 24 МБ; Максимальная тактовая частота: 4.6 ГГц; Модель проц",99999
"Гарантия: 1 год; Гарантия предоставляется: продавцом; ЗД для отчета BI/BO: 15.6""/1920x1080 пикс./IPS/Intel/Core i7/Intel Iris Xe Graphics/16 ГБ/512 ГБ/Windows 11 Pro 64; Количество ядер: 10; Кэш-память: 12 МБ; Максимальная тактовая частота: 4.7 ГГц; Модел",114999
"Гарантия: 1 год; Гарантия предоставляется: продавцом; ЗД для отчета BI/BO: 15.6""/1920x1080 пикс./TFT/AMD/Ryzen 7/Radeon Graphics/8 ГБ/512 ГБ/не установлена; Количество ядер: 8; Кэш-память: 8 МБ; Максимальная тактовая частота: 4.3 ГГц; Модель процессора: 5",44999
"Гарантия: 1 год; Гарантия предоставляется: продавцом; ЗД для отчета BI/BO: 15.6""/1920x1080 пикс./TFT/Intel/Core i5/GeForce MX350 2ГБ/8 ГБ/1 ТБ/256 ГБ/Endless OS; Количество ядер: 2; Кэш-память: 6 МБ; Максимальная тактовая частота: 4.2 ГГц; Модель процессо",46999
"Гарантия: 1 год; Гарантия предоставляется: продавцом; ЗД для отчета BI/BO: 15.6""/1920x1080 пикс./TFT/Intel/Core i7/GeForce MX350 2ГБ/8 ГБ/1 ТБ/256 ГБ/Endless OS; Количество ядер: 4; Кэш-память: 12 МБ; Максимальная тактовая частота: 4.7 ГГц; Модель процесс",49999
