information,price,notebook_id
"Графический контроллер: UHD Graphics 605; Диагональ экрана: 15.6""(39.6 см); Диагональ/разрешение: 15.6""/1920x1080 пикс.; Количество ядер: 4; Кэш-память: 4 МБ; Максимальная тактовая частота: 3.1 ГГц; Модель процессора: N5030; ОС Windows: установлена; Опера",39999,74
"Ноутбук; Производитель: Honor. Операционная система: Без ОС; Диагональ экрана: 16.1""; Соотношение сторон: 16:9; Разрешение экрана: 1920x1080
Пикс; Контрастность: 1000:1; Тип матрицы: IPS; Угол обзора по вертикали: 170; Угол обзора по горизонтали: 170; Пов",59999,75
"Гарантия: 1 год; Гарантия предоставляется: продавцом; ЗД для отчета BI/BO: 15.6""/1920x1080 пикс./IPS/Intel/Core i5/GeForce RTX 3050 для ноутбуков 4GB/16 ГБ/512 ГБ/Windows 11 Домашняя; Количество ядер: 6; Модель: G5 GD; Модель процессора: 11400H; ОС Window",85999,76
"Ноутбук; Производитель: HUAWEI. Операционная система: Windows 11 Домашняя в S-режиме; Диагональ экрана: 12.6""; Разрешение экрана: 2560x1600
Пикс; Тип матрицы: OLED; Поверхность: Глянцевая; Производитель процессора: Intel; Тактовая частота: 1.8; Количество",79999,77
"Гарантия: 1 год; Гарантия предоставляется: продавцом; Графический процессор ядер: 16; Диагональ/разрешение: 16.2""/3456x2234 пикс.; ЗД для отчета BI/BO: 16.2""/3456x2234 пикс./Apple/M1 Pro/16 ГБ/512 ГБ/macOS; Количество ядер: 10; Модель: MK183RU/A; Операцио",189999,78
"Гарантия: 1 год; Гарантия предоставляется: продавцом; ЗД для отчета BI/BO: 14""/2160x1440 пикс./IPS/Intel/Core i5/Intel Iris Xe Graphics/16 ГБ/512 ГБ/Windows 10 Домашняя; Количество ядер: 4; Кэш-память: 8 МБ; Модель процессора: 1135G7; ОС Windows: установл",77999,79
"Графический контроллер: Intel UHD Graphics; Диагональ экрана: 15.6""(39.6 см); Диагональ/разрешение: 15.6""/1920x1080 пикс.; Количество ядер: 2; Кэш-память: 4 МБ; Максимальная тактовая частота: 2.8 ГГц; Модель процессора: N4500; ОС Windows: установлена; Опе",29999,80
"Ноутбук; Производитель: Lenovo. Операционная система: Windows 11 Домашняя x64; Диагональ экрана: 17.3""; Разрешение экрана: 1920x1080
Пикс; Тип матрицы: IPS; Поверхность: Матовая; Производитель процессора: Intel; Тактовая частота: 1.7; Количество ядер: 2;",49999,81
"Гарантия: 1 год; Гарантия предоставляется: продавцом; ЗД для отчета BI/BO: 17.3""/1920x1080 пикс./IPS/Intel/Core i7/GeForce RTX 3060 для ноутбуков 6GB/16 ГБ/1 ТБ/Windows 11 Домашняя 64; Количество ядер: 14; Кэш-память: 24 МБ; Максимальная тактовая частота:",139999,82
"Графический контроллер: Intel Iris Graphics; Диагональ экрана: 14.2""(36.1 см); Диагональ/разрешение: 14.2""/2520x1680 пикс.; Количество ядер: 4; Кэш-память: 12 МБ; Максимальная тактовая частота: 4.8 ГГц; Модель: MateBook; Модель процессора: i7-11370H; ОС W",99999,83
